   INFO 2018-01-08 18:40:51.000000 [     4 ] Gear unpack
 NOTICE 2018-01-08 18:40:51.000000 [  proc ] accepted,reverse,,0 -> libgearman-server/server.cc:301
   INFO 2018-01-08 18:40:51.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:40:51.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:40:51.000000 [     4 ] Peer connection has called close() 192.168.122.89:54216
   INFO 2018-01-08 18:40:51.000000 [     4 ] Disconnected 192.168.122.89:54216
   INFO 2018-01-08 18:40:51.000000 [     4 ] Gear connection disconnected
   INFO 2018-01-08 18:40:51.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:40:51.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:40:54.000000 [  main ] Accepted connection from 192.168.122.89:54218
   INFO 2018-01-08 18:40:54.000000 [     3 ] Gear connection made
   INFO 2018-01-08 18:40:54.000000 [     3 ] Gear unpack
 NOTICE 2018-01-08 18:40:54.000000 [  proc ] accepted,reverse,,0 -> libgearman-server/server.cc:301
   INFO 2018-01-08 18:40:54.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:40:54.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:40:54.000000 [     3 ] Peer connection has called close() 192.168.122.89:54218
   INFO 2018-01-08 18:40:54.000000 [     3 ] Disconnected 192.168.122.89:54218
   INFO 2018-01-08 18:40:54.000000 [     3 ] Gear connection disconnected
   INFO 2018-01-08 18:40:54.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:40:54.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:41:48.000000 [  main ] Accepted connection from 192.168.122.89:54226
   INFO 2018-01-08 18:41:48.000000 [     2 ] Gear connection made
   INFO 2018-01-08 18:41:48.000000 [     2 ] Gear unpack
 NOTICE 2018-01-08 18:41:48.000000 [  proc ] accepted,reverse,,0 -> libgearman-server/server.cc:301
   INFO 2018-01-08 18:41:48.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:41:48.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:41:48.000000 [     2 ] Peer connection has called close() 192.168.122.89:54226
   INFO 2018-01-08 18:41:48.000000 [     2 ] Disconnected 192.168.122.89:54226
   INFO 2018-01-08 18:41:48.000000 [     2 ] Gear connection disconnected
   INFO 2018-01-08 18:41:48.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:41:48.000000 [     3 ] Gear unpack
